id,screen_name,friends_count,followers_count,self_description
989092857297428480,2gQJoDbb23F1Flg,100,23,"鷲西！中1
テニス部🎾
フォローしてくれたら返すで♡
久喜提灯祭り仲町やってます
#アイナナ好きと繋がりたい
#アルスマグナ好きと繋がりたい
#アニメ好きと繋がりたい"
899539413859844097,ikon__13,59,45,知り合い
989462765579321344,kaetaro_sun,116,32,安本彩花 と 玉井詩織 と 志田愛佳 と 長濱ねる のヲタク
989090910674792452,ANNCHIAKA,40,3,"みらん中心あいなん，渡辺りさも無理
基本見る専でござる"
989457217886666753,Yuuuu_lovely,15,1,"宮内




WANIMA  /  ONE OK ROCK"
949376835720159232,Ah_chan__,66,8,
812139696822177796,KTD__ktkrshk,66,43,好きなタイプはひまわりみたいな子。また一緒に笑える日まで、俺は生きる。
988704008222081024,____a___cha__,252,164,【👩🏻‍🎓】LJK【🙅🏻‍♀️】ピーマン【💋】基本写真はInstagram
898430039431061504,ksr_loooove,76,148,➸♡@ku_oooon  ♥*⇝くおんさまが1番 🎀🐞🐝 @ 4L╭☞@kkm_3910 ✌🏻💗
2692778582,tm19971117,146,200,各務野→NKU 2nd フットサル
2316678522,Furusyou_0501,148,110,赤商33R↪︎日建.baseball E-girls
970247143024869376,DIiGbfOO6H9ny9e,151,110,中3.14歳.槇島.吹奏楽部.部長.
989426658330456069,sitiao_1111,24,6,🇨🇳乃木坂46井上小百合推し💟💟/嵐松本潤担💜/spitz/boc/みーぱん🍞 weibo:四条君在暴风雨里 ins:yojou1111 中文/日本語/English
944230403958751232,dk1B4zYVbLYoUU4,134,36,"#中2#卓球部#TWICE好き💓
推しメン
サナ モモ ツウィ ダヒョン💓

友達いっぱい
         友達大好き"
2958318960,38Sayasayak,95,65,NS卒▶︎短  like⏩小説・動物・映画・ジャニーズWEST・Hey! Say! JUMP・チーム8
964896005148721153,utayuki_neko,320,260,"JC2😛
歌い手さんとヘンジンマジメと韓国が好き！
96月最推しです！
詳しくは個ツイを！
よろしくです(*`･ω･)ゞ

ヘッダー→まとぺ様(@maaaaah___)"
982561366509699074,saki58020426,30,21,1 6 / 元 中 沢 / 寒川高校 / ト プ 右
716604160288776192,Sgym_Mm,432,240,心 理 。色 々 な こ と に 奮 闘 中 。
885450192765374464,miyu020321220,144,149,'01line/NK58th2-3/アカウント変えました
970933888309604352,nxe7_th,556,156,新しい垢なんで、フォローして下さい。関西人。オムライス好き。キャラメルラテ好き。スタバにいる系女子。写真好き。めちゃひたる。レモンティー好き。リア友探してます。良かったら知ってる方フォローして頂けたら嬉しいです(ﾉ)*´꒳`*(ヾ)ﾑﾆﾑﾆ フォロー待ってます。乃木坂聴くと落ち着く🐰
988421509180899328,kahohohoho0812,243,37,Twitter初心者٩( ᐛ )و Y中→→S高13R 韓国料理🇰🇷💕欅坂46/乃木坂46/YouTube/白猫テニス/badminton
2597494280,0104_24karats,924,1317,kgu.19..hiphop...k-pop....Look at me!.....follow me!
877529449956114433,fu_rikako,113,78,Da-iCE🎲/AAA💙❤️
3150702414,aaa_haru0128,620,573,HONAN3A3￤ぶるうぃん🐳▷ フルート＆CG⚑*ﾟトプ画→ ￤AAA🌈￤與真司郎💙￤米津玄師￤欅坂 スヌーピー🐶￤プーさん🐻🍯コナン🎀👓
989307233442848773,3355KEroro,20,2,
894161208793645058,a_tj_0912,63,0,16さい ポキさん💓 YouTuber垢
3243945883,oooo__mi,520,201,
978958323847380993,ryoka_1702,105,76,stanstead college🇨🇦☞St.Andrew’s college🇳🇿☞Chukyo uni 心理🎌
983304081501339648,J6NmX74IQiO3vm8,37,1,
889744781319970816,bs_bt,409,321,八敬 3年
942525112342822912,yuu74285725,247,159,南中 / 女バレ / littleGreemonster / BLACKPINK/emma /YouTube / KEMIO
4850560628,1990ABTwin,15,13,ゆうこす❥❥❥❥YouTube好き
2251501910,putinsmile039,129,53,
712633722491654144,man0kr9,229,138,football🇯🇵ksu/reds/jfc/fussball/jonan/reds←🆕‼️
989177931598450689,sCahcTXqIXzx9g0,17,3,
987977695093866496,hati23901472,30,3,時尚 旅遊 企業 國際 國際音樂
730706157812224000,loveason3,8,0,喜欢自由  喜欢安静  喜欢交朋友
989164010464460800,99ta_____ri125,52,6,２年後には東京住みたい #ぎーにょず
3089727748,leeisjustweird,283,41,★  I'm a space cactus!  ★
745763209290801154,ShaoChiaChen,151,5,"안녕하세요 , 저는 포천 점에서 대만 ARMY , 오빠 사랑 해요"
874623845939859456,hanna0325kj8,184,111,"塩浜▷▷農芸FJK🌼*･
                                      ｜KJ8｜EG｜大倉忠義｜石井杏奈｜坂口健太郎｜竹内涼真｜山崎賢人｜なのかじ｜"
989152671624904704,9LtGUhIudXn9r7r,41,1,
973068878648520705,shien64393264,120,91,JK1✲16🤟SS→SC→MJ🤟菅中生とか、MJ生とか、気軽にフォローウェルカムです！多趣味人間。主にめせもあ。と文豪ストレイドッグスとGARNiDELiAとスカイピースとFischer's。歌い手も好き。知ってるよ！って人いたらフォローお願いします！…わかる人はわかると思うけど、腐ってる女子ですから。笑
3238528032,MARi_kun_,261,254,のしろ1G￤空手道部ﾏﾈ￤🐼￤りんごの遅刻マン/JK大好きな趣味歌おじさん/イケメンなおばけの人
